cenario,teste,metrica,n_com,n_sem,media_com,media_sem,welch_t,welch_p,mannwhitney_p,metodo
1,3,co2Medio_g,3,3,147.733,144.8,7.152108226993275,0.018994125068350912,0.06360256962075367,scipy
1,3,co2Medio_real_g,3,3,567046,549949,8.58428806640656,0.013300232726924195,0.06360256962075367,scipy
1,3,combustivelMedio_ml,3,3,73.8667,72.4,7.052876200012469,0.019516713314424294,0.06360256962075367,scipy
1,3,combustivelMedio_real_ml,3,3,183829,178286,8.584762900908899,0.013298790679938152,0.06360256962075367,scipy
1,3,suppressionRatio,3,3,0.715633,0,159.8296842297519,3.91434965315869e-05,0.06360256962075367,scipy
1,3,tempoMedioViagem,3,3,233.793,216.18,12.11047765478131,0.006749370028625128,0.06360256962075367,scipy
1,3,tempoMedioViagem_real,3,3,284.29,263.754,13.50064411872079,0.0054417022215465,0.06360256962075367,scipy
1,3,tempoViagem_P50,3,3,223.667,207,7.142857142857138,0.019041960171311965,0.06360256962075367,scipy
1,3,tempoViagem_P50_real,3,3,271,251,7.559289460184544,0.017053625634019107,0.06360256962075367,scipy
1,3,tempoViagem_P90,3,3,433,417,2.562050460881394,0.12451895173666752,0.06360256962075367,scipy
1,3,tempoViagem_P90_real,3,3,468.067,418,5.4807663741427834,0.03171507831119013,0.06360256962075367,scipy
1,3,tempoViagem_P95,3,3,520.333,482,4.877086345659838,0.03956340866305193,0.06360256962075367,scipy
1,3,tempoViagem_P95_real,3,3,530.333,463.5,5.969516180205689,0.026933634212327345,0.06360256962075367,scipy
1,3,throughput_total,3,3,1385.67,1475,-13.605638612790484,0.0053587105062246594,0.06360256962075367,scipy
1,3,throughput_vps,3,3,5.92767,6.823,-16.636124129584182,0.0035937647692961087,0.06360256962075367,scipy
1,3,totalAlertsTriggered,3,3,858.333,0,52.88243647683698,0.00035739149972377276,0.06360256962075367,scipy
1,3,totalCamsReceived,3,3,43840,0,131.08134926783492,5.819427772878194e-05,0.06360256962075367,scipy
1,3,totalDenmsReceived,3,3,25541.7,0,87.14428044832093,0.00013165472536952265,0.06360256962075367,scipy
1,3,totalV2xMessages,3,3,69381.7,0,116.76200416670561,7.334139033215663e-05,0.06360256962075367,scipy
1,4,co2Medio_g,3,3,148.84,144.8,inf,0.0,0.04685417760387376,scipy
1,4,co2Medio_real_g,3,3,549949,549949,nan,nan,1.0,scipy
1,4,combustivelMedio_ml,3,3,74.42,72.4,inf,0.0,0.04685417760387376,scipy
1,4,combustivelMedio_real_ml,3,3,178286,178286,0.0,1.0,1.0,scipy
1,4,suppressionRatio,3,3,0.726733,0,1648.0762881093806,3.68167236975811e-07,0.06360256962075367,scipy
1,4,tempoMedioViagem,3,3,217.82,216.18,57702370225686.0,5.412234915433369e-55,0.04685417760387376,scipy
1,4,tempoMedioViagem_real,3,3,263.754,263.754,nan,nan,1.0,scipy
1,4,tempoViagem_P50,3,3,210,207,inf,0.0,0.04685417760387376,scipy
1,4,tempoViagem_P50_real,3,3,251,251,nan,nan,1.0,scipy
1,4,tempoViagem_P90,3,3,399,417,-inf,0.0,0.04685417760387376,scipy
1,4,tempoViagem_P90_real,3,3,418,418,nan,nan,1.0,scipy
1,4,tempoViagem_P95,3,3,473,482,-inf,0.0,0.04685417760387376,scipy
1,4,tempoViagem_P95_real,3,3,463.5,463.5,nan,nan,1.0,scipy
1,4,throughput_total,3,3,1381,1475,-inf,0.0,0.04685417760387376,scipy
1,4,throughput_vps,3,3,6.34,6.823,-inf,0.0,0.04685417760387376,scipy
1,4,totalAlertsTriggered,3,3,746,0,inf,0.0,0.04685417760387376,scipy
1,4,totalCamsReceived,3,3,42502,0,inf,0.0,0.04685417760387376,scipy
1,4,totalDenmsReceived,3,3,23453.7,0,1517.7973682588636,4.3408234873162934e-07,0.06360256962075367,scipy
1,4,totalV2xMessages,3,3,65955.7,0,4268.302210958863,5.4889546340910285e-08,0.06360256962075367,scipy
2,1,co2Medio_g,3,3,148.773,145.47,11.816894161738894,0.007085303726461072,0.06360256962075367,scipy
2,1,co2Medio_real_g,3,3,556445,553941,0.759002008295035,0.5271069723473594,0.6428348264908044,scipy
2,1,combustivelMedio_ml,3,3,74.3867,72.73,12.078914570450403,0.006784330690410351,0.06360256962075367,scipy
2,1,combustivelMedio_real_ml,3,3,180392,179581,0.7591395345133551,0.5270404528349701,0.6428348264908044,scipy
2,1,suppressionRatio,3,3,0.714167,0,85.75558763702232,0.00013595230444179244,0.06360256962075367,scipy
2,1,tempoMedioViagem,3,3,225.493,215.06,6.847540059502526,0.020668167175808206,0.06360256962075367,scipy
2,1,tempoMedioViagem_real,3,3,272.504,266.588,3.5283730150969923,0.07178337509324323,0.06360256962075367,scipy
2,1,tempoViagem_P50,3,3,220,208,12.0,0.00687293367715846,0.05934643879191985,scipy
2,1,tempoViagem_P50_real,3,3,260.667,251,8.043152845265839,0.015108364323579513,0.06360256962075367,scipy
2,1,tempoViagem_P90,3,3,404.667,405,-0.06441566264007942,0.9544984244806736,0.6428348264908044,scipy
2,1,tempoViagem_P90_real,3,3,426.9,436,-1.3519988227498192,0.3089714746310309,0.6428348264908044,scipy
2,1,tempoViagem_P95,3,3,502.333,481,1.4401125131853092,0.2865066004366389,0.6428348264908044,scipy
2,1,tempoViagem_P95_real,3,3,494.467,501.5,-0.39860093713329514,0.7287162428257592,0.6428348264908044,scipy
2,1,throughput_total,3,3,1366,1448,-71.01408311032397,0.0001982357041977049,0.06360256962075367,scipy
2,1,throughput_vps,3,3,6.05833,6.733,-15.133582710498606,0.004337938626961239,0.06360256962075367,scipy
2,1,totalAlertsTriggered,3,3,877,0,49.623846558671254,0.0004058398658996901,0.06360256962075367,scipy
2,1,totalCamsReceived,3,3,42997.3,0,142.11727593813117,4.9507842273366543e-05,0.06360256962075367,scipy
2,1,totalDenmsReceived,3,3,25231.3,0,118.08693239630142,7.170502716537218e-05,0.06360256962075367,scipy
